5,"123,575.73",476,476,3
4,"43,200.00",910,910,1
2,"2,140.20",887,577,1
1,65.36,1446,1446,0
4,"7,100.00",273,273,1
4,372.95,7,577,11
5,"41,385.00",247,247,3
9,"117,114.06",1082,577,9
6,"54,641.06",307,1347,5
1,770,1568,1568,0
4,89.88,945,577,0
3,334.62,1044,577,3
9,"114,180.00",887,887,214
20,"266,500.00",1362,381,300
4,334.62,912,577,0
6,"165,500.00",506,506,3
5,510.51,776,577,10
3,112.56,1397,577,0
1,181.71,852,852,0
2,92.53,838,838,1
2,"12,087.07",1347,1347,2
4,"4,873.40",208,1347,0
3,334.62,411,577,2
2,315.5,887,577,3
5,"20,558.00",103,103,5
4,"7,428.00",12,12,0
2,"2,997.38",287,577,0
4,"20,314.06",1472,1472,4
8,"288,236.00",1301,1301,29
10,"173,880.00",306,306,343
1,69.15,1446,1446,0
3,334.62,886,577,6
14,"800,000.00",141,141,15
9,"1,378,300.00",768,577,14
13,"72,675.00",1211,577,22
3,"19,000.00",1224,1224,2
2,"3,186.00",1347,1347,2
5,"14,082.08",1319,577,7
1,21.66,1,1,0
4,"40,000.00",246,246,2
4,"148,500.00",476,476,0
2,7.07,1583,577,6
4,"18,142.50",887,577,2
5,166.84,782,782,3
8,"28,400.00",917,917,14
4,"18,892.09",1339,577,1
7,"57,688.75",1508,1508,7
6,"22,239.00",1259,1259,27
1,159.2,411,411,0
3,"50,000.00",476,476,4
3,"1,048.00",376,577,0
1,13.35,1430,1430,0
5,"249,400.00",476,476,21
4,"8,750.00",1162,577,0
3,293.68,562,577,0
4,194.43,333,577,14
2,"3,372.12",1515,1515,0
3,318.4,900,900,0
4,"19,500.00",827,827,4
3,20.8,348,348,1
2,"9,780.50",887,577,1
2,"25,000.00",1372,1372,0
9,"155,630.17",208,1347,4
2,639.64,547,547,0
3,"8,396.20",887,577,1
5,"5,339.00",247,1315,1
2,"3,636.00",533,533,0
15,"199,870.00",888,888,10
2,"85,464.60",887,577,0
2,744,814,577,0
1,369.71,160,160,0
3,"80,627.00",887,577,0
11,"1,653.75",325,325,8
22,"506,700.00",51,51,367
17,"145,376.00",1029,577,6
1,90.49,588,588,0
5,"5,273.93",1043,1123,1
4,820.56,295,295,25
2,"2,156.45",326,577,0
3,103.45,1030,1030,1
26,"988,289.10",710,910,407
2,249.28,728,728,0
7,"5,200.00",1535,946,6
2,"7,421.05",887,577,1
2,433.7,1530,577,0
9,"2,864.81",1357,1357,10
3,"2,503.74",964,964,2
7,"16,662.72",1123,1123,2
4,245.78,1544,1544,3
15,"998,681.12",938,938,11
7,"46,000.00",1368,1368,2
21,"31,219.19",247,247,164
6,334.62,1447,577,0
1,126.3,1052,1052,0
6,"2,994.93",1347,1347,1
1,36.99,303,303,0
5,"345,000.00",1082,1082,10
14,"156,000.00",518,518,256
4,"90,000.00",1110,1110,2
1,72.7,1571,1571,0
3,"1,301.10",13,577,10
8,"72,000.00",506,506,6
2,396.57,701,577,2
3,75.49,713,577,2
4,209.51,585,577,2
2,"41,015.90",887,577,0
4,"19,797.96",1063,1063,5
3,669.24,1093,577,2
1,103.99,1510,1510,0
3,334.62,657,577,0
2,"3,287.05",818,577,7
29,"270,592.63",533,533,280
3,"90,000.00",1563,1563,0
5,"45,111.00",1549,1549,2
2,65.71,1068,577,0
4,"70,000.00",1346,1532,1
2,"19,651.20",887,577,0
35,"840,140.60",1504,1574,33
8,"8,800.00",78,78,11
3,374.45,1073,1073,0
5,"54,591.10",1347,1347,4
5,"1,802.27",1424,1424,0
3,"1,995.00",834,1039,0
1,34.59,112,112,0
2,"10,240.50",887,577,0
14,"267,300.00",1359,1359,18
6,"219,179.61",178,178,13
5,"2,673.90",1042,577,9
10,"91,213.00",1396,577,9
34,"1,309,000.00",820,273,144
5,57.19,227,577,0
5,"1,154.40",1062,1062,11
9,"56,000.00",1063,1063,20
4,"9,000.00",499,273,0
1,"12,898.50",1224,1224,0
3,397.08,705,577,6
1,184.71,60,60,0
6,897.96,1155,577,7
5,"10,291.96",1549,1549,1
3,68.69,395,395,0
9,"153,600.00",899,198,11
3,334.62,731,577,4
2,"13,912.21",887,577,0
7,15.96,120,577,5
4,"1,079.50",1314,273,1
2,"26,620.25",887,577,1
4,166.45,1337,1337,1
4,235.97,72,72,0
3,"1,500.00",827,827,0
2,"1,231.43",887,577,1
1,406.55,204,204,0
1,143.85,1365,1365,0
4,"2,482.26",887,577,1
2,125.7,1245,1245,0
2,"2,997.38",1348,577,0
6,"54,000.00",1333,1333,7
3,"149,041.44",887,577,1
3,"4,209.80",1352,577,1
4,"14,764.41",150,577,1
3,117.1,807,807,0
3,52.58,302,577,1
2,334.62,887,577,0
3,"3,390.30",1347,1347,0
1,105.75,940,940,0
2,775.9,1123,1123,2
2,49.6,369,577,1
2,99.52,608,608,0
8,"70,000.00",887,577,10
1,76.29,1300,1300,0
1,461.63,1062,1062,0
8,"25,057.60",1547,1547,13
1,287.58,987,987,0
5,"104,776.00",465,1025,14
3,"28,290.00",827,827,1
2,"3,035.10",887,577,3
5,"268,320.00",766,204,3
3,334.62,510,577,5
5,133.66,734,734,1
3,"4,812.53",802,1347,1
3,"2,173.20",289,954,0
11,"10,340.00",1098,1098,7
8,613.67,763,115,14
3,300,1062,1062,0
1,54.29,394,394,0
14,"134,000.00",595,273,10
2,60.13,687,577,0
10,"5,937.72",1025,1025,11
4,"5,350.00",827,827,1
3,"5,400.00",1224,1224,5
1,76.48,1468,1468,0
3,186.92,409,409,0
9,"21,643.10",307,1347,9
5,"236,590.00",1495,1495,5
3,272.98,409,409,0
2,334.62,1143,577,7
3,"160,605.00",887,577,3
3,"91,910.00",1533,476,0
6,"259,428.91",813,577,3
10,"17,088.98",307,1347,9
3,"1,132.24",228,577,12
3,494.56,1579,1579,3
2,43.21,1316,577,0
3,334.62,38,577,1
12,"375,000.00",373,1216,28
1,33.19,613,613,0
1,53.45,1291,1291,0
6,"65,500.00",476,577,7
4,"102,564.86",1347,1347,8
1,97.2,1130,1130,0
3,334.62,1165,577,3
3,397.08,1280,577,1
2,23.4,165,165,0
5,726.12,887,577,1
25,"2,500,200.00",97,97,21
1,228.93,249,1012,0
2,58.19,765,577,2
10,"117,027.00",1148,1148,14
8,"13,077.23",544,544,7
9,"52,697.25",993,1123,4
14,"54,750.00",1362,1307,161
3,578.78,734,734,0
3,"12,866.00",325,325,0
5,"146,050.00",273,273,9
10,"119,811.93",307,1347,24
2,"83,470.80",887,577,1
3,"4,658.00",957,957,4
6,"147,000.00",1089,1089,13
2,170.28,527,577,2
6,"3,178.00",247,1315,3
2,36.35,167,577,3
4,"24,775.00",957,957,3
5,"2,021.07",1424,1424,1
4,669.24,1441,577,1
2,"4,807.31",887,577,0
7,"221,408.00",1301,1301,5
2,"96,019.30",887,577,1
5,850,640,984,11
7,"178,875.00",1065,749,4
1,24.49,146,146,0
4,"34,504.18",1123,1123,3
27,"243,245.00",1568,1382,147
1,100.16,249,249,0
2,30.48,1073,1073,0
1,77.27,647,647,2
3,397.08,1325,577,2
4,"54,137.50",1347,1347,3
2,"1,573.86",1347,1347,0
5,"250,000.00",1224,1224,23
1,68.59,1292,1292,0
22,"800,000.00",1571,1571,285
3,669.24,1281,577,0
4,"3,600.42",1130,1130,4
2,234.39,1515,1515,1
1,458.43,867,867,0
3,265.46,632,577,12
3,"4,949.31",1123,1123,1
3,"4,500.00",120,577,1
2,668.48,1515,1515,0
1,"5,900.00",476,476,0
19,"573,288.00",1153,577,211
3,334.62,190,577,1
2,"2,804.25",1565,577,0
16,"132,655.24",1472,1472,3
3,"44,247.00",887,577,0
1,20.74,303,303,0
7,"52,500.00",1148,1148,5
2,288.9,74,74,2
8,"293,944.05",1067,1067,8
1,82.79,1389,1389,0
7,"80,500.00",1139,506,45
2,"3,093.94",217,577,1
12,"101,075.00",134,134,275
6,"1,390.54",1196,1196,4
3,"8,725.14",340,340,3
11,"1,000,000.00",733,710,5
3,"3,133.93",208,1347,2
1,101.7,160,160,0
2,68.72,527,577,0
4,"55,840.00",1038,577,6
16,"492,000.00",827,827,26
3,334.62,1075,577,0
4,38.52,621,577,2
10,"128,960.00",386,386,31
4,400,543,543,1
1,403.66,173,173,0
11,"415,984.25",1368,577,25
2,232.11,1090,577,0
3,"2,428.94",307,1347,5
1,21.03,1180,1180,0
4,383.93,409,409,1
15,"270,715.10",544,544,17
4,"24,000.00",1321,577,2
8,"64,400.40",1025,1025,1
4,"88,463.32",1454,1454,1
7,"56,000.00",235,235,8
2,123.18,694,577,0
2,75.65,887,577,0
1,248.98,110,110,0
8,"18,388.86",1063,1063,33
5,12.84,918,577,5
4,243.5,1185,1185,0
2,54.3,336,577,1
2,144,1524,1524,0
4,"1,480.00",1549,1549,2
4,799.98,1194,577,0
2,"21,235.77",687,577,0
13,"60,000.00",273,273,319
