,0,1,2,3,4
563,4,194.43,333,577,14
564,3,318.4,900,900,0
565,2,4757.1,1149,628,0
566,3,20.8,348,348,1
567,2,639.64,547,547,0
568,8,180250.0,1192,1192,7
569,6,9950.0,39,577,2
570,4,1210.08,544,544,5
571,8,60953.63,1038,273,40
572,11,54781.92,86,273,28
573,1,369.71,160,160,0
574,4,73293.44,470,470,11
575,14,2828402.5,887,577,98
576,4,1831.73,547,577,3
577,2,251.35,887,577,1
578,18,330720.0,51,51,383
579,1,90.49,588,588,0
580,4,820.56,295,295,25
581,8,22575.0,1211,577,8
582,3,103.45,1030,1030,1
583,3,27978.46,39,577,0
584,6,155120.0,1155,1155,6
585,9,14000.0,1115,577,6
586,5,81090.0,1148,1148,4
587,10,17900.0,611,1417,14
588,2,433.7,1530,577,0
589,3,1530.0,142,142,0
590,5,113146.0,1347,1347,4
591,1,77.35,1,1,1
592,12,328440.0,68,68,233
593,7,28757.92,581,273,1
594,6,334.62,1447,577,0
595,1,126.3,1052,1052,0
596,8,94366.23,307,1347,12
597,1,36.99,303,303,0
598,12,2583450.0,97,97,14
599,11,2476.95,1536,1536,18
600,3,80835.0,887,577,0
601,1,72.7,1571,1571,0
602,4,185657.5,1192,1192,1
603,2,396.57,701,577,2
604,4,15390.0,1040,1224,6
605,3,75.49,713,577,2
606,4,209.51,585,577,2
607,2,13,120,577,0
608,4,10957.64,898,577,1
609,3,669.24,1093,577,2
610,5,110687.0,711,557,7
611,1,103.99,1510,1510,0
612,3,334.62,657,577,0
613,5,196560.0,1224,1224,14
614,3,92857.6,887,577,1
615,4,44752.0,1123,1123,1
616,13,370000.0,434,434,23
617,2,65.71,1068,577,0
618,5,95000.0,1543,1543,1
619,5,101306.93,1347,1347,5
620,15,199870.0,888,888,10
621,9,27266.25,208,1347,200
622,6,146860.0,1148,1148,11
623,3,51144.25,1472,1472,1
624,1,34.59,112,112,0
625,4,82000.0,220,220,1
626,3,334.62,1322,577,1
627,4,30000.0,1040,1224,1
628,2,2801.34,887,577,1
629,5,57.19,227,577,0
630,1,20181.0,1124,1124,0
631,3,28290.0,827,827,1
632,3,397.08,705,577,6
633,1,184.71,60,60,0
634,6,4243.6,396,577,11
635,6,897.96,1155,577,7
636,7,1121.6,1312,577,3
637,4,1121.6,410,577,4
638,3,68.69,395,395,0
639,3,334.62,731,577,4
640,2,2392.3,513,513,0
641,7,15.96,120,577,5
642,3,8028.26,790,577,1
643,4,43242.8,1396,577,3
644,7,5797.88,533,533,0
645,5,3833.34,450,577,1
646,7,482000.0,1153,250,4
647,4,1451.86,1515,577,0
648,4,166.45,1337,1337,1
649,4,235.97,72,72,0
650,4,12000.0,1215,1215,67
651,1,406.55,204,204,0
652,4,80580.0,871,871,5
653,3,2423.66,533,533,0
654,3,15532.6,887,577,1
655,2,125.7,1245,1245,0
656,12,181440.0,78,78,36
657,2,1935.02,642,577,0
658,5,5339.0,247,1315,1
659,6,200000.0,284,273,17
660,2,3093.94,422,577,0
661,2,14978.73,687,577,0
662,3,117.1,807,807,0
663,4,56803.56,1082,938,3
664,7,154000.0,938,938,17
665,3,52.58,302,577,1
666,2,334.62,887,577,0
667,7,48850.8,247,247,3
668,1,105.75,940,940,0
669,2,775.9,1123,1123,2
670,2,49.6,369,577,1
671,2,99.52,608,608,0
672,1,76.29,1300,1300,0
673,1,461.63,1062,1062,0
674,4,40000.0,220,220,4
675,1,287.58,987,987,0
676,2,9313.0,887,577,1
677,2,4568.4,1497,1497,0
678,3,13575.0,1533,577,0
679,3,334.62,510,577,5
680,3,49650.0,476,476,0
681,8,46720.0,767,125,4
682,5,133.66,734,734,1
683,8,613.67,763,115,14
684,4,10000.0,1162,577,1
685,4,14900.0,813,577,4
686,3,300,1062,1062,0
687,1,54.29,394,394,0
688,9,74155.04,1347,1347,14
689,2,60.13,687,577,0
690,1,76.48,1468,1468,0
691,3,4246.0,1124,1124,0
692,13,156545.35,208,1347,179
693,3,186.92,409,409,0
694,10,8841.8,373,1216,10
695,3,10325.26,533,533,0
696,2,1301.1,804,577,0
697,3,272.98,409,409,0
698,2,334.62,1143,577,7
699,14,65295.3,208,1347,21
700,4,63631.0,938,938,2
701,3,126.15,126,126,0
702,5,3784.62,1347,1347,0
703,2,43.21,1316,577,0
704,3,334.62,38,577,1
705,1,33.19,613,613,0
706,1,53.45,1291,1291,0
707,1,16741.5,1124,1124,0
708,3,334.62,390,577,1
709,5,797000.0,1224,1224,16
710,4,52.58,65,577,3
711,2,23.4,165,165,0
712,5,24055.2,598,598,2
713,2,3250.4,1315,1315,1
714,1,228.93,249,1012,0
715,2,58.19,765,577,2
716,6,191250.0,39,39,4
717,2,18.25,982,982,1
718,5,16240.72,133,577,5
719,3,74651.4,887,577,0
720,10,119811.93,307,1347,24
721,5,84650.0,1082,577,3
722,5,25200.0,51,51,1
723,3,92857.6,887,577,0
724,11,15024.01,491,115,9
725,24,2000016.91,680,680,9
726,3,578.78,734,734,0
727,5,34200.0,833,443,6
728,8,356.54,1356,577,18
729,4,73476.23,1155,577,3
730,4,7689.0,830,830,0
731,2,36.35,167,577,3
732,3,2659.08,1472,1472,4
733,4,2240.0,102,102,1
734,4,669.24,1441,577,1
735,5,850,640,984,11
736,1,24.49,146,146,0
737,1,100.16,249,249,0
738,3,271.73,241,241,1
739,1,77.27,647,647,2
740,3,397.08,1325,577,2
741,5,11000.0,680,680,4
742,3,231.25,1461,1461,1
743,1,68.59,1292,1292,0
744,3,5160.0,1454,1454,0
745,4,80247.0,253,250,2
746,7,174784.3,951,1402,6
747,3,669.24,1281,577,0
748,6,31600.0,102,102,3
749,2,234.39,1515,1515,1
750,4,183.48,556,577,0
751,10,5389.0,887,577,3
752,3,265.46,632,577,12
753,6,286234.04,827,827,10
754,2,668.48,1515,1515,0
755,3,334.62,190,577,1
756,4,65055.2,887,577,1
757,1,20.74,303,303,0
758,5,61914.4,887,577,3
759,3,946.25,887,577,0
